caller_number,caller_name,receiver_number,receiver_name,timestamp,duration_sec,tower_location
9876543210,Suresh Yadav,9123456789,Anil Ghosh,2026-03-14 10:15:00,180,Howrah
9876543210,Suresh Yadav,9123456789,Anil Ghosh,2026-03-14 18:42:00,95,Salt Lake
9123456789,Anil Ghosh,9876543210,Suresh Yadav,2026-03-15 09:05:00,210,Barasat
9876543210,Suresh Yadav,9988776655,Bimal Das,2026-03-16 14:20:00,45,Sealdah
9123456789,Anil Ghosh,9988776655,Bimal Das,2026-03-22 11:30:00,300,Howrah
9988776655,Bimal Das,9000011122,Rajesh Verma,2026-03-18 08:00:00,120,Salt Lake
9000011122,Rajesh Verma,9876543210,Suresh Yadav,2026-03-19 20:10:00,60,Salt Lake
9000011122,Rajesh Verma,9123456789,Anil Ghosh,2026-03-20 12:45:00,150,Salt Lake
9876543210,Suresh Yadav,9000011122,Rajesh Verma,2026-03-21 07:30:00,90,Salt Lake
9123456789,Anil Ghosh,9000011122,Rajesh Verma,2026-03-23 16:00:00,200,Barasat
