txn_id,sender_name,sender_account,receiver_name,receiver_account,amount,timestamp,mode
T001,Anil Ghosh,ACC1001,Rajesh Verma,ACC2001,120000,2026-03-18 09:00:00,NEFT
T002,Anil Ghosh,ACC1001,Rajesh Verma,ACC2001,120000,2026-03-18 09:15:00,NEFT
T003,Anil Ghosh,ACC1001,Rajesh Verma,ACC2001,120000,2026-03-18 09:30:00,NEFT
T004,Anil Ghosh,ACC1001,Rajesh Verma,ACC2001,120000,2026-03-18 09:45:00,NEFT
T005,Rajesh Verma,ACC2001,Bimal Das,ACC3001,80000,2026-03-19 11:00:00,IMPS
T006,Bimal Das,ACC3001,Suresh Yadav,ACC4001,25000,2026-03-20 15:00:00,UPI
T007,Anil Ghosh,ACC1001,Bimal Das,ACC3001,45000,2026-03-22 10:00:00,RTGS
T008,Deepak Malhotra,ACC5001,Manoj Tiwari,ACC6001,116000,2026-03-29 09:00:00,NEFT
T009,Deepak Malhotra,ACC5001,Manoj Tiwari,ACC6001,117000,2026-03-29 09:20:00,NEFT
T010,Deepak Malhotra,ACC5001,Manoj Tiwari,ACC6001,117000,2026-03-29 09:40:00,NEFT
T011,Bimal Das,ACC3001,Manoj Tiwari,ACC6001,200000,2026-04-04 12:00:00,RTGS
T012,Manoj Tiwari,ACC6001,Deepak Malhotra,ACC5001,60000,2026-04-06 14:30:00,UPI
